"","Date","Area","Name","Years","Price..mm.","Size.sqft.","Price/Sqft"
"1","2021-08-02","Sai Ying Pun","Fung Yat Building",33,4.88,263,18555.1330798479
"2","2021-08-02","Tin Hau","Victoria Centre",39,9.6,539,17810.7606679035
"3","2021-08-02","Sai Wan Ho","Lei King Wan",33,14.15,789,17934.0937896071
"4","2021-08-02","North Point","Island Place",24,15.98,996,16044.1767068273
"5","2021-08-02","North Point Mid-Levels","7A Comfort Terrace",44,9.5,682,13929.6187683284
"6","2021-08-02","Deep Bay","Broadview Court",20,6.18,422,14644.5497630332
"7","2021-08-02","Pok Fu Lam","Chi Fu Fa Yuen",42,9.23,694,13299.711815562
"8","2021-08-02","North Point","City Garden",35,16.8,963,17445.4828660436
"9","2021-08-02","Mid-Levels West","Euston Court",32,11.16,587,19011.9250425894
"10","2021-08-02","Central","Garley Building",35,5.88,262,22442.7480916031
"11","2021-08-02","Kennedy Town","Chin Hom Court",26,6,323,18575.8513931889
"12","2021-07-30","Taikoo Shing","Taikoo Shing",42,13.98,685,20408.7591240876
"13","2021-07-30","Quarry Bay","Westlands Gardens",46,12.5,894,13982.1029082774
"14","2021-07-30","Tai Hang Mid-Levels","Morengo Court",45,19.8,956,20711.2970711297
"15","2021-07-30","Kornhill","Kornhill",35,9.5,529,17958.4120982987
"16","2021-07-30","Siu Sai Wan","Island Resort",20,14.08,752,18723.4042553192
"17","2021-07-30","Mid-Levels West","Scholastic Garden",25,16.5,626,26357.8274760383
"18","2021-07-30","Causeway Bay","Dragon Rise",35,6,319,18808.7774294671
"19","2021-07-30","Tin Wan","Full Jade Mansion",29,4.88,256,19062.5
"20","2021-07-30","Kennedy Town","Ka On Building",32,10,519,19267.8227360308
"21","2021-07-30","Deep Bay","Broadview Court",20,7.1,591,12013.5363790186
"22","2021-07-30","Pok Fu Lam","Chi Fu Fa Yuen",41,17.6,809,21755.2533992583
"23","2021-07-30","Quarry Bay","Chung Hing Mansion",55,4,374,10695.1871657754
"24","2021-07-30","Wan Chai","The Gloucester",8,9.6,342,28070.1754385965
"25","2021-07-30","North Point","City Garden",38,15.9,879,18088.7372013652
"26","2021-07-30","Shek Tong Tsui","Poga Building",39,5.41,318,17012.5786163522
"27","2021-07-30","Sai Wan Ho","Monti",1,6.76,285,23719.298245614
"28","2021-07-30","North Point","Island Place",24,16.28,780,20871.7948717949
"29","2021-07-30","Sheung Wan","Universal Building",35,5.05,254,19881.8897637795
"30","2021-07-30","Kennedy Town","Smithfield Terrace",35,6.25,314,19904.4585987261
"31","2021-07-29","Mid-Levels West","Academic Terrace",31,11.88,649,18305.0847457627
"32","2021-07-29","Wan Chai","Tonnochy Towers",46,5.48,367,14931.8801089918
"33","2021-07-29","Ap Lei CHau","Marina Habitat",23,9.8,605,16198.347107438
"34","2021-07-29","North Point","Fortress Metro Tower",34,8,410,19512.1951219512
"35","2021-07-29","Tin Hau","Supernova Stand",20,6.9,332,20783.1325301205
"36","2021-07-29","Mid-Levels West","3 Chico Terrace",33,7.2,358,20111.7318435754
"37","2021-07-29","Sai Wan Ho","Tai On Building",53,4.58,352,13011.3636363636
"38","2021-07-29","Kennedy Town","Belcher's Hill",53,4.58,352,13011.3636363636
"39","2021-07-29","Yiu Tung","Tung Shing Court",21,6.08,559,10876.5652951699
