Address,Transaction date,B. Age,Transaction Price,Saleable Area,Building Name,Area
FLAT E 16/F TOWER 3 THE MERTON,21/12/2020,16,$9.68M,471s.f.,THE MERTON,Kennedy Town/SYP
FLAT C 30/F TOWER 1 THE MERTON,15/12/2020,16,$10.98M,496s.f.,THE MERTON,Kennedy Town/SYP
FLAT J 10/F TOWER 3 THE MERTON,14/12/2020,16,$12.25M,619s.f.,THE MERTON,Kennedy Town/SYP
FLAT F 19/F TOWER 3 THE MERTON,9/12/2020,16,$10.00M,471s.f.,THE MERTON,Kennedy Town/SYP
FLAT H 41/F TOWER 3 THE MERTON,7/12/2020,16,$8.30M,313s.f.,THE MERTON,Kennedy Town/SYP
FLAT D 30/F TOWER 1 THE MERTON,23/11/2020,16,$9.99M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT K 7/F TOWER 3 THE MERTON,16/11/2020,16,$9.68M,482s.f.,THE MERTON,Kennedy Town/SYP
FLAT C 31/F TOWER 1 THE MERTON,13/11/2020,16,$10.50M,496s.f.,THE MERTON,Kennedy Town/SYP
FLAT D 43/F TOWER 3 THE MERTON,9/11/2020,16,$11.50M,530s.f.,THE MERTON,Kennedy Town/SYP
FLAT C 15/F TOWER 1 THE MERTON,6/11/2020,16,$10.28M,492s.f.,THE MERTON,Kennedy Town/SYP
FLAT B 35/F TOWER 3 THE MERTON,2/11/2020,16,$13.68M,619s.f.,THE MERTON,Kennedy Town/SYP
FLAT H 39/F TOWER 3 THE MERTON,22/10/2020,16,$7.90M,313s.f.,THE MERTON,Kennedy Town/SYP
FLAT C 8/F TOWER 2 THE MERTON,19/10/2020,16,$9.83M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT G 38/F TOWER 2 THE MERTON,16/10/2020,16,$11.28M,490s.f.,THE MERTON,Kennedy Town/SYP
FLAT E 13/F TOWER 1 THE MERTON,6/10/2020,16,$10.00M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT K 10/F TOWER 3 THE MERTON,6/10/2020,16,$10.00M,482s.f.,THE MERTON,Kennedy Town/SYP
FLAT E 11/F TOWER 1 THE MERTON,5/10/2020,16,$10.00M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT K 12/F TOWER 3 THE MERTON,24/9/2020,16,$10.00M,482s.f.,THE MERTON,Kennedy Town/SYP
FLAT A 15/F TOWER 1 THE MERTON,17/9/2020,16,$15.90M,651s.f.,THE MERTON,Kennedy Town/SYP
FLAT A 50/F TOWER 2 THE MERTON,11/9/2020,16,$11.76M,507s.f.,THE MERTON,Kennedy Town/SYP
FLAT C 9/F TOWER 2 THE MERTON,10/9/2020,16,$9.75M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT G 32/F TOWER 2 THE MERTON,10/9/2020,16,$10.80M,490s.f.,THE MERTON,Kennedy Town/SYP
FLAT H 12/F TOWER 3 THE MERTON,27/8/2020,16,$7.25M,313s.f.,THE MERTON,Kennedy Town/SYP
FLAT A 12/F TOWER 1 THE MERTON,11/8/2020,16,$15.55M,651s.f.,THE MERTON,Kennedy Town/SYP
FLAT J 35/F TOWER 3 THE MERTON,10/8/2020,16,$13.80M,619s.f.,THE MERTON,Kennedy Town/SYP
FLAT A 13/F TOWER 3 THE MERTON,28/7/2020,16,$10.65M,482s.f.,THE MERTON,Kennedy Town/SYP
FLAT F 8/F TOWER 2 THE MERTON,28/7/2020,16,$9.95M,470s.f.,THE MERTON,Kennedy Town/SYP
FLAT B 11/F TOWER 2 THE MERTON,24/7/2020,16,$10.68M,488s.f.,THE MERTON,Kennedy Town/SYP
FLAT H 9/F TOWER 3 THE MERTON,16/7/2020,16,$7.20M,313s.f.,THE MERTON,Kennedy Town/SYP
